ecosystem,locked_path,package,version,license_expression,scope,disposition,notes
python,requirements/runtime.lock,alembic,1.16.5,MIT,runtime,accepted,
python,requirements/runtime.lock,annotated-doc,0.0.5,MIT,runtime,accepted,
python,requirements/runtime.lock,annotated-types,0.8.0,MIT,runtime,accepted,
python,requirements/runtime.lock,anyio,4.14.2,MIT,runtime,accepted,
python,requirements/runtime.lock,argon2-cffi,25.1.0,MIT,runtime,accepted,
python,requirements/runtime.lock,argon2-cffi-bindings,25.1.0,MIT,runtime,accepted,
python,requirements/runtime.lock,attrs,26.1.0,MIT,runtime,accepted,
python,requirements/runtime.lock,certifi,2026.7.22,MPL-2.0,runtime,reviewed,File-level copyleft; preserve upstream license and notices.
python,requirements/runtime.lock,cffi,2.1.1,MIT-0,runtime,accepted,
python,requirements/ci.lock,charset-normalizer,3.4.9,MIT,documentation,accepted,
python,requirements/runtime.lock,click,8.4.2,BSD-3-Clause,runtime,accepted,
python,requirements/ci.lock,coverage,7.10.2,Apache-2.0,development,accepted,
python,requirements/ci.lock,cryptography,49.0.0,Apache-2.0 OR BSD-3-Clause,documentation,reviewed,Dual-license package; preserve wheel notices.
python,requirements/runtime.lock,fastapi,0.141.1,MIT,runtime,accepted,
python,requirements/runtime.lock,greenlet,3.5.5,MIT AND PSF-2.0,runtime,accepted,
python,requirements/runtime.lock,h11,0.16.0,MIT,runtime,accepted,
python,requirements/runtime.lock,httpcore,1.0.9,BSD-3-Clause,runtime,accepted,
python,requirements/runtime.lock,httptools,0.8.0,MIT,runtime,accepted,
python,requirements/runtime.lock,httpx,0.28.1,BSD-3-Clause,runtime,accepted,
python,requirements/runtime.lock,idna,3.18,BSD-3-Clause,runtime,accepted,
python,requirements/ci.lock,iniconfig,2.3.0,MIT,development,accepted,
python,requirements/runtime.lock,joblib,1.5.3,BSD-3-Clause,runtime,accepted,
python,requirements/runtime.lock,jsonschema,4.25.0,MIT,runtime,accepted,
python,requirements/runtime.lock,jsonschema-specifications,2025.9.1,MIT,runtime,accepted,
python,requirements/runtime.lock,Mako,1.4.1,MIT,runtime,accepted,
python,requirements/runtime.lock,MarkupSafe,3.0.3,BSD-3-Clause,runtime,accepted,
python,requirements/ci.lock,mypy,1.17.1,MIT,development,accepted,
python,requirements/ci.lock,mypy_extensions,1.1.0,MIT,development,accepted,
python,requirements/runtime.lock,narwhals,2.24.0,MIT,runtime,accepted,
python,requirements/runtime.lock,numpy,2.5.2,BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0,runtime,reviewed,Composite upstream expression recorded from package metadata.
python,requirements/ci.lock,packaging,26.3,Apache-2.0 OR BSD-2-Clause,development,reviewed,Dual-license package; preserve upstream notices.
python,requirements/runtime.lock,paho-mqtt,2.1.0,EPL-2.0 OR BSD-3-Clause,runtime,reviewed,Dual-license expression; BSD-3-Clause option is compatible with distribution.
python,requirements/ci.lock,pathspec,1.1.1,MPL-2.0,development,reviewed,File-level copyleft; preserve upstream license and notices.
python,requirements/ci.lock,pdfminer.six,20251230,MIT,documentation,accepted,
python,requirements/ci.lock,pdfplumber,0.11.9,MIT,documentation,accepted,
python,requirements/ci.lock,pillow,12.2.0,MIT-CMU,documentation,accepted,
python,requirements/ci.lock,pluggy,1.6.0,MIT,development,accepted,
python,requirements/runtime.lock,psycopg,3.3.4,LGPL-3.0-only,runtime,reviewed,Dynamically imported library; preserve upstream license and relinking rights.
python,requirements/runtime.lock,psycopg-binary,3.3.4,LGPL-3.0-only,runtime,reviewed,Binary distribution may bundle third-party libraries; preserve wheel notices.
python,requirements/runtime.lock,psycopg-pool,3.3.1,LGPL-3.0-only,runtime,reviewed,Dynamically imported library; preserve upstream license and relinking rights.
python,requirements/runtime.lock,pycparser,3.0,BSD-3-Clause,runtime,accepted,
python,requirements/runtime.lock,pydantic,2.13.4,MIT,runtime,accepted,
python,requirements/runtime.lock,pydantic_core,2.46.4,MIT,runtime,accepted,
python,requirements/runtime.lock,pydantic-settings,2.10.1,MIT,runtime,accepted,
python,requirements/ci.lock,Pygments,2.20.0,BSD-2-Clause,development,accepted,
python,requirements/runtime.lock,PyJWT,2.10.1,MIT,runtime,accepted,
python,requirements/ci.lock,pypdf,6.10.0,BSD-3-Clause,documentation,accepted,
python,requirements/ci.lock,pypdfium2,5.12.1,BSD-3-Clause AND Apache-2.0 AND LicenseRef-PDFium-Dependencies,documentation,reviewed,Binary wheel includes PDFium and its recorded third-party dependency licenses.
python,requirements/ci.lock,pytest,8.4.1,MIT,development,accepted,
